starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 20:52:41 2022	1664797961	0	1022	1022	1021
Mon Oct 03 20:52:33 2022	1664797953	0	1022	1022	1022
Mon Oct 03 20:52:30 2022	1664797950	0	1022	1022	1022
Mon Oct 03 20:52:40 2022	1664797960	0	1022	1022	1022
Mon Oct 03 20:52:37 2022	1664797957	0	1022	1022	1022
Mon Oct 03 20:52:25 2022	1664797945	0	1022	1022	1022
Mon Oct 03 20:52:32 2022	1664797952	0	1022	1023	1022
Mon Oct 03 20:52:33 2022	1664797953	0	1023	1023	1022
Mon Oct 03 20:52:37 2022	1664797957	0	1023	1023	1023
Mon Oct 03 20:52:29 2022	1664797949	0	1023	1023	1023
Mon Oct 03 20:52:26 2022	1664797946	0	1023	1023	1023
Mon Oct 03 20:52:42 2022	1664797962	0	1023	1023	1023
Mon Oct 03 20:52:31 2022	1664797951	0	1023	1024	1023
Mon Oct 03 20:52:40 2022	1664797960	0	1024	1024	1023
Mon Oct 03 20:52:31 2022	1664797951	0	1024	1024	1023
Mon Oct 03 20:52:29 2022	1664797949	0	1024	1024	1024
Mon Oct 03 20:52:35 2022	1664797955	0	1024	1024	1024
Mon Oct 03 20:52:41 2022	1664797961	0	1024	1024	1024
Mon Oct 03 20:52:31 2022	1664797951	0	1024	1024	1024
Mon Oct 03 20:52:34 2022	1664797954	0	1024	1024	1024
Mon Oct 03 20:52:31 2022	1664797951	0	1024	1025	1024
Mon Oct 03 20:52:42 2022	1664797962	0	1025	1025	1025
Mon Oct 03 20:52:41 2022	1664797961	0	1025	1025	1025
Mon Oct 03 20:52:31 2022	1664797951	0	1025	1025	1025
Mon Oct 03 20:52:40 2022	1664797960	0	1025	1025	1025
Mon Oct 03 20:52:30 2022	1664797950	0	1026	1026	1025
Mon Oct 03 20:52:38 2022	1664797958	0	1026	1026	1026
Mon Oct 03 20:52:38 2022	1664797958	0	1026	1026	1026
Mon Oct 03 20:52:40 2022	1664797960	0	1026	1026	1026
Mon Oct 03 20:52:26 2022	1664797946	0	1026	1026	1026
Mon Oct 03 20:52:41 2022	1664797961	0	1026	1026	1026
Mon Oct 03 20:52:41 2022	1664797961	0	1026	1026	1026
Mon Oct 03 20:52:36 2022	1664797956	0	1026	1026	1026
Mon Oct 03 20:52:26 2022	1664797946	0	1026	1026	1026
Mon Oct 03 20:52:43 2022	1664797963	0	1026	1027	1026
Mon Oct 03 20:52:37 2022	1664797957	0	1027	1027	1027
Mon Oct 03 20:52:27 2022	1664797947	0	1027	1027	1027
Mon Oct 03 20:52:32 2022	1664797952	0	1027	1027	1027
Mon Oct 03 20:52:26 2022	1664797946	0	1028	1028	1028
Mon Oct 03 20:52:41 2022	1664797961	0	1028	1028	1027
Mon Oct 03 20:52:43 2022	1664797963	0	1028	1028	1027
Mon Oct 03 20:52:43 2022	1664797963	0	1028	1028	1028
Mon Oct 03 20:52:38 2022	1664797958	0	1028	1028	1028
Mon Oct 03 20:52:31 2022	1664797951	0	1028	1028	1028
Mon Oct 03 20:52:33 2022	1664797953	0	1028	1029	1028
Mon Oct 03 20:52:24 2022	1664797944	0	1029	1029	1029
Mon Oct 03 20:52:28 2022	1664797948	0	1029	1029	1028
Mon Oct 03 20:52:42 2022	1664797962	0	1029	1029	1029
Mon Oct 03 20:52:27 2022	1664797947	0	1029	1029	1029
Mon Oct 03 20:52:33 2022	1664797953	0	1029	1030	1029
Mon Oct 03 20:52:26 2022	1664797946	0	1030	1030	1029
Mon Oct 03 20:52:31 2022	1664797951	0	1030	1030	1029
Mon Oct 03 20:52:38 2022	1664797958	0	1030	1030	1030
Mon Oct 03 20:52:39 2022	1664797959	0	1030	1030	1030
Mon Oct 03 20:52:29 2022	1664797949	0	1030	1030	1030
Mon Oct 03 20:52:32 2022	1664797952	0	1030	1030	1030
Mon Oct 03 20:52:41 2022	1664797961	0	1030	1030	1030
Mon Oct 03 20:52:26 2022	1664797946	0	1030	1031	1030
Mon Oct 03 20:52:32 2022	1664797952	0	1031	1031	1031
Mon Oct 03 20:52:43 2022	1664797963	0	1031	1031	1031
Mon Oct 03 20:52:35 2022	1664797955	0	1031	1031	1031
Mon Oct 03 20:52:31 2022	1664797951	0	1031	1031	1031
Mon Oct 03 20:52:39 2022	1664797959	0	1031	1032	1031
Mon Oct 03 20:52:26 2022	1664797946	0	1031	1032	1031
Mon Oct 03 20:52:37 2022	1664797957	0	1032	1032	1031
Mon Oct 03 20:52:30 2022	1664797950	0	1032	1032	1031
Mon Oct 03 20:52:31 2022	1664797951	0	1032	1032	1032
Mon Oct 03 20:52:33 2022	1664797953	0	1032	1032	1032
Mon Oct 03 20:52:41 2022	1664797961	0	1032	1032	1031
Mon Oct 03 20:52:36 2022	1664797956	0	1032	1032	1032
Mon Oct 03 20:52:35 2022	1664797955	0	1032	1032	1032
Mon Oct 03 20:52:26 2022	1664797946	0	1032	1032	1032
Mon Oct 03 20:52:26 2022	1664797946	0	1032	1032	1032
Mon Oct 03 20:52:42 2022	1664797962	0	1033	1033	1032
Mon Oct 03 20:52:37 2022	1664797957	0	1033	1033	1033
Mon Oct 03 20:52:26 2022	1664797946	0	1033	1033	1033
Mon Oct 03 20:52:39 2022	1664797959	0	1033	1033	1033
Mon Oct 03 20:52:25 2022	1664797945	0	1033	1033	1033
Mon Oct 03 20:52:30 2022	1664797950	0	1033	1033	1033
Mon Oct 03 20:52:40 2022	1664797960	0	1033	1034	1033
Mon Oct 03 20:52:25 2022	1664797945	0	1034	1034	1034
Mon Oct 03 20:52:41 2022	1664797961	0	1034	1034	1034
Mon Oct 03 20:52:29 2022	1664797949	0	1035	1035	1035
Mon Oct 03 20:52:37 2022	1664797957	0	1035	1035	1034
Mon Oct 03 20:52:29 2022	1664797949	0	1035	1035	1035
Mon Oct 03 20:52:32 2022	1664797952	0	1035	1035	1035
Mon Oct 03 20:52:38 2022	1664797958	0	1035	1035	1035
Mon Oct 03 20:52:31 2022	1664797951	0	1035	1035	1035
Mon Oct 03 20:52:36 2022	1664797956	0	1036	1036	1035
Mon Oct 03 20:52:26 2022	1664797946	0	1036	1036	1036
Mon Oct 03 20:52:36 2022	1664797956	0	1036	1036	1036
Mon Oct 03 20:52:26 2022	1664797946	0	1036	1036	1036
Mon Oct 03 20:52:31 2022	1664797951	0	1036	1036	1036
Mon Oct 03 20:52:37 2022	1664797957	0	1036	1036	1036
Mon Oct 03 20:52:25 2022	1664797945	0	1036	1036	1036
Mon Oct 03 20:52:34 2022	1664797954	0	1036	1036	1036
Mon Oct 03 20:52:42 2022	1664797962	0	1036	1036	1036
Mon Oct 03 20:52:33 2022	1664797953	0	1037	1037	1036
Mon Oct 03 20:52:37 2022	1664797957	0	1037	1037	1037
Mon Oct 03 20:52:40 2022	1664797960	0	1037	1037	1037
Mon Oct 03 20:52:38 2022	1664797958	0	1037	1038	1037
Mon Oct 03 20:52:36 2022	1664797956	0	1038	1038	1037
Mon Oct 03 20:52:41 2022	1664797961	0	1038	1038	1037
Mon Oct 03 20:52:41 2022	1664797961	0	1038	1038	1037
Mon Oct 03 20:52:28 2022	1664797948	0	1038	1038	1037
Mon Oct 03 20:52:34 2022	1664797954	0	1038	1038	1038
Mon Oct 03 20:52:25 2022	1664797945	0	1038	1038	1038
Mon Oct 03 20:52:36 2022	1664797956	0	1038	1038	1038
Mon Oct 03 20:52:35 2022	1664797955	0	1038	1039	1038
Mon Oct 03 20:52:41 2022	1664797961	0	1039	1039	1038
Mon Oct 03 20:52:30 2022	1664797950	0	1039	1039	1039
Mon Oct 03 20:52:39 2022	1664797959	0	1039	1039	1039
Mon Oct 03 20:52:29 2022	1664797949	0	1039	1039	1039
Mon Oct 03 20:52:37 2022	1664797957	0	1039	1039	1039
Mon Oct 03 20:52:36 2022	1664797956	0	1039	1039	1039
Mon Oct 03 20:52:36 2022	1664797956	0	1039	1040	1039
Mon Oct 03 20:52:42 2022	1664797962	0	1040	1040	1039
Mon Oct 03 20:52:36 2022	1664797956	0	1040	1040	1039
Mon Oct 03 20:52:33 2022	1664797953	0	1040	1040	1040
Mon Oct 03 20:52:43 2022	1664797963	0	1040	1040	1040
Mon Oct 03 20:52:26 2022	1664797946	0	1041	1041	1040
Mon Oct 03 20:52:40 2022	1664797960	0	1041	1041	1040
Mon Oct 03 20:52:27 2022	1664797947	0	1041	1041	1041
Mon Oct 03 20:52:36 2022	1664797956	0	1042	1042	1041
Mon Oct 03 20:52:36 2022	1664797956	0	1042	1042	1042
Mon Oct 03 20:52:33 2022	1664797953	0	1042	1042	1041
Mon Oct 03 20:52:35 2022	1664797955	0	1042	1042	1042
Mon Oct 03 20:52:42 2022	1664797962	0	1042	1042	1042
Mon Oct 03 20:52:33 2022	1664797953	0	1042	1042	1042
