starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 03 20:52:24 2022	1664797944	0	1071	1071	1071
Mon Oct 03 20:52:29 2022	1664797949	0	1071	1071	1071
Mon Oct 03 20:52:41 2022	1664797961	0	1072	1072	1071
Mon Oct 03 20:52:25 2022	1664797945	0	1072	1072	1071
Mon Oct 03 20:52:34 2022	1664797954	0	1073	1073	1072
Mon Oct 03 20:52:25 2022	1664797945	0	1073	1073	1073
Mon Oct 03 20:52:33 2022	1664797953	0	1073	1073	1072
Mon Oct 03 20:52:42 2022	1664797962	0	1073	1073	1072
Mon Oct 03 20:52:40 2022	1664797960	0	1073	1073	1073
Mon Oct 03 20:52:27 2022	1664797947	0	1074	1074	1073
Mon Oct 03 20:52:37 2022	1664797957	0	1074	1074	1073
Mon Oct 03 20:52:31 2022	1664797951	0	1074	1074	1073
Mon Oct 03 20:52:39 2022	1664797959	0	1074	1074	1073
Mon Oct 03 20:52:25 2022	1664797945	0	1074	1074	1074
Mon Oct 03 20:52:43 2022	1664797963	0	1074	1074	1074
Mon Oct 03 20:52:29 2022	1664797949	0	1074	1074	1074
Mon Oct 03 20:52:30 2022	1664797950	0	1075	1075	1075
Mon Oct 03 20:52:31 2022	1664797951	0	1075	1075	1074
Mon Oct 03 20:52:36 2022	1664797956	0	1075	1075	1074
Mon Oct 03 20:52:28 2022	1664797948	0	1075	1075	1075
Mon Oct 03 20:52:32 2022	1664797952	0	1075	1075	1075
Mon Oct 03 20:52:32 2022	1664797952	0	1075	1075	1075
Mon Oct 03 20:52:28 2022	1664797948	0	1075	1075	1075
Mon Oct 03 20:52:43 2022	1664797963	0	1075	1075	1075
Mon Oct 03 20:52:38 2022	1664797958	0	1076	1076	1076
Mon Oct 03 20:52:33 2022	1664797953	0	1076	1076	1076
Mon Oct 03 20:52:38 2022	1664797958	0	1076	1076	1076
Mon Oct 03 20:52:25 2022	1664797945	0	1076	1076	1076
Mon Oct 03 20:52:37 2022	1664797957	0	1077	1077	1076
Mon Oct 03 20:52:36 2022	1664797956	0	1077	1077	1076
Mon Oct 03 20:52:31 2022	1664797951	0	1077	1077	1076
Mon Oct 03 20:52:34 2022	1664797954	0	1077	1077	1077
Mon Oct 03 20:52:39 2022	1664797959	0	1077	1077	1077
Mon Oct 03 20:52:33 2022	1664797953	0	1077	1077	1077
